42540589574044412757835924857526681600	42540589574050457386933998003400212479	US
42540589574050457386933998003400212480	42540589574078262680785134474418454527	CA
42540589574078262680785134474418454528	42540589574084307309883207620291985407	US
42540589574101232271357812428737871872	42540589574129037565208948899756113919	CA
42540589574139917897585480562328469504	42540589574176185672173919437569654783	US
42540589574178603523813148695919067136	42540589574183439227091607212617891839	CA
42540589574183439227091607212617891840	42540589574190692782009294987666128895	US
42540589574193110633648524246015541248	42540589574211244520942743683636133887	US
42540589574212453446762358312810840064	42540589574217289150040816829509664767	US
42540589574217289150040816829509664768	42540589574226960556597733862907314175	CA
42540589574226960556597733862907314176	42540589574228169482417348492082020351	US
42540589574255974776268484963100262400	42540589574314003215609987163486158847	CA
42540589574314003215609987163486158848	42540589574315212141429601792660865023	US
42540589574315212141429601792660865024	42540589574316421067249216421835571199	CA
42540589574333346028723821230281457664	42540589574345435286919967522028519423	CA
42540589575229160061058261448738734080	42540589575230368986877876077913440255	US
42540589589187417574328769899896242176	42540589589188626500148384529070948351	US
42540589590893211905805011665406656512	42540589590894420831624626294581362687	US
42540589595128079051915057664402391040	42540589595129287977734672293577097215	US
42540589611596066566705536282249920512	42540589611597275492525150911424626687	US
42540589615318349165298979511170236416	42540589615319558091118594140344942591	US
42540589641248599070213160679443005440	42540589641249807996032775308617711615	US
42540589647429836785902759649715683328	42540589647431045711722374278890389503	US
42540589696010520847116633035283365888	42540589696011729772936247664458072063	US
42540589700056795565366796883024936960	42540589700058004491186411512199643135	US
42540589708331892800628933583888711680	42540589708333101726448548213063417855	US
42540589735202686993203296250082885632	42540589735203895919022910879257591807	US
42540589737448871166047277256686960640	42540589737450080091866891885861666815	US
42540589741340403379386768570066141184	42540589741341612305206383199240847359	US
42540589746980042327889013670070452224	42540589746981251253708628299245158399	US
42540589754165897399678369484523962368	42540589754167106325497984113698668543	US
42540589763347688999651478066417369088	42540589763348897925471092695592075263	US
42540589767321428168724764163676569600	42540589767322637094544378792851275775	US
42540589770373965863251702829809664000	42540589770375174789071317458984370175	US
42540589775852817677745202249578053632	42540589775854026603564816878752759807	US
42540589786031973078900379900604055552	42540589786033182004719994529778761727	US
42540589791466094638068138040908316672	42540589791467303563887752670083022847	US
42540589795581278128036335751608139776	42540589795582487053855950380782845951	US
42540589796762398653799828455296073728	42540589796763607579619443084470779903	US
42540589797966488770135999113303425024	42540589797967697695955613742478131199	US
42540589807993319518019733488316448768	42540589807994528443839348117491154943	US
42540589815469316786516600304699441152	42540589815470525712336214933874147327	US
42540589815786055351255633148472459264	42540589815787264277075247777647165439	US
42540589822575382754211390593622343680	42540589822576591680031005222797049855	US
42540589827229747159727712916241121280	42540589827230956085547327545415827455	US
42540589829582316804697781290219339776	42540589829583525730517395919394045951	US
42540589834129086812268401616289267712	42540589834130295738088016245463973887	US
42540589837735312532178840444437790720	42540589837736521457998455073612496895	US
42540589839835216680849451320902418432	42540589839836425606669065950077124607	US
42540589843914132396229210156361056256	42540589843915341322048824785535762431	US
42540589850001073897988868051006652416	42540589850002282823808482680181358591	US
42540589850005909601267326567705477120	42540589850007118527086941196880183295	US
42540589851370786851612242905948749824	42540589851371995777431857535123455999	US
42540589852534982415901130801190797312	42540589852536191341720745430365503487	US
42540589856872608256678420280036556800	42540589856873817182498034909211262975	US
42540589861578956472438171657167699968	42540589861580165398257786286342406143	US
42540589863776783612497567496783527936	42540589863777992538317182125958234111	US
42540589869347513789281778733829586944	42540589869348722715101393363004293119	US
42540589871032756381824571803369996288	42540589871033965307644186432544702463	US
42540589873442145540316527748559405056	42540589873443354466136142377734111231	US
42540589874896483301312926645730934784	42540589874897692227132541274905640959	US
42540589876601068706969553782066642944	42540589876602277632789168411241349119	US
42540589877343349160212936095336235008	42540589877344558086032550724510941183	US
42540589881720869553037508336947298304	42540589881722078478857122966122004479	US
42540589883797804111135441259092508672	42540589883799013036955055888267214847	US
42540589885562835807772799854163525632	42540589885564044733592414483338231807	US
42540589886459858765926854701795508224	42540589886461067691746469330970214399	US
42540589886720986742963614603532042240	42540589886722195668783229232706748415	US
42540589887176751776958329802396270592	42540589887177960702777944431570976767	US
42540589890695934837856515329965948928	42540589890697143763676129959140655103	US
42540589890936511075959826535732477952	42540589890960689592352119119226601471	US
42540589890961898518171733748401307648	42540589890963107443991348377576013823	CA
42540589890963107443991348377576013824	42540589890967943147269806894274838527	US
42540589890967943147269806894274838528	42540589890969152073089421523449544703	CA
42540589890969152073089421523449544704	42540589890971569924728650781798957055	US
42540589890971569924728650781798957056	42540589890972778850548265410973663231	PR
42540589890975196702187494669323075584	42540589890980032405465953186021900287	CA
42540589890980032405465953186021900288	42540589890981241331285567815196606463	US
42540589890981241331285567815196606464	42540589890983659182924797073546018815	CA
42540589890983659182924797073546018816	42540589890988494886203255590244843519	US
42540589890988494886203255590244843520	42540589890992121663662099477768962047	CA
42540589890992121663662099477768962048	42540589890993330589481714106943668223	US
42540589890993330589481714106943668224	42540589890994539515301328736118374399	CA
42540590049392836104488501722820378624	42540590049395253956127730981169790975	US
42540590049402507511045418756218028032	42540590049403716436865033385392734207	US
42540590049431521730716169856410976256	42540590049432730656535784485585682431	CA
42540590049441193137273086889808625664	42540590049442402063092701518983331839	US
42540590049702321114309846791545159680	42540590049703530040129461420719865855	US
42540590054344596261630022822416875520	42540590064248116575913065021609869311	US
42540590069199876733054586121206366208	42540590089006917361620670519592353791	US
42540590207849161133017176909908279296	42540590287077323647281514503452229631	BM
42540590841674461247131877658259881984	42540590920902623761396215251803832319	CA
42540591475499761361246578406611484672	42540591554727923875510916000155435007	US
42540592109325061475361279154963087360	42540592188553223989625616748507037695	US
42540592743150361589475979903314690048	42540592822378524103740317496858640383	US
42540593376975661703590680651666292736	42540593456203824217855018245210243071	US
42540594010800961817705381400017895424	42540594090029124331969718993561845759	US
42540594644626261931820082148369498112	42540594723854424446084419741913448447	US
42540595278451562045934782896721100800	42540595357679724560199120490265051135	US
42540595912276862160049483645072703488	42540595991505024674313821238616653823	US
42540596546102162274164184393424306176	42540597259155624902543222735319859199	US
42540597813752762502393585890127511552	42540598447578062616508286638479114239	CA
42540598447578062616508286638479114240	42540598526806225130772624232023064575	US
42540599081403362730622987386830716928	42540599398316012787680337761006518271	US
42540599715228662844737688135182319616	42540599794456825359002025728726269951	US
42540600982879263072967089631885524992	42540601062107425587231427225429475327	US
42540601616704563187081790380237127680	42540601695932725701346127973781078015	CA
42540602250529863301196491128588730368	42540602329758025815460828722132680703	CA
42540602884355163415311191876940333056	42540602963583325929575529470484283391	US
42540603518180463529425892625291935744	42540603597408626043690230218835886079	US
42540604152005763643540593373643538432	42540604231233926157804930967187488767	US
42540604785831063757655294121995141120	42540604865059226271919631715539091455	CA
42540605419656363871769994870346743808	42540605498884526386034332463890694143	US
42540606053481663985884695618698346496	42540606132709826500149033212242296831	US
42540606687306964099999396367049949184	42540606766535126614263733960593899519	US
42540607321132264214114097115401551872	42540607400360426728378434708945502207	US
42540607954957564328228797863753154560	42540608034185726842493135457297104895	US
42540608588782864442343498612104757248	42540608668011026956607836205648707583	US
42540609222608164556458199360456359936	42540609301836327070722536954000310271	US
42540609856433464670572900108807962624	42540609935661627184837237702351912959	EU
42540610490258764784687600857159565312	42540610569486927298951938450703515647	DE
42540611124084064898802301605511168000	42540611203312227413066639199055118335	NL
42540611757909365012917002353862770688	42540611837137527527181339947406721023	CH
42540612391734665127031703102214373376	42540612470962827641296040695758323711	CH
42540613025559965241146403850565976064	42540613659385265355261104598917578751	AT
42540613659385265355261104598917578752	42540613738613427869525442192461529087	GB
42540614293210565469375805347269181440	42540614372438727983640142940813131775	DE
42540614927035865583490506095620784128	42540615006264028097754843689164734463	RU
42540615560861165697605206843972386816	42540615640089328211869544437516337151	GR
42540616194686465811719907592323989504	42540616907739928440098945934219542527	DE
42540617462337066039949309089027194880	42540618096162366154064009837378797567	FR
42540618096162366154064009837378797568	42540618729987666268178710585730400255	DE
42540618729987666268178710585730400256	42540619046900316325236060959906201599	FI
42540619363814175308113025963256709120	42540619363815384233932640592431415295	CZ
42540619363815384233932640592431415296	42540619363816593159752255221606121471	DE
42540619363816593159752255221606121472	42540619363817802085571869850780827647	CH
42540619363817802085571869850780827648	42540619363820219937211099109130239999	GB
42540619363820219937211099109130240000	42540619363821428863030713738304946175	LT
42540619363821428863030713738304946176	42540619363822637788850328367479652351	GR
42540619363822637788850328367479652352	42540619363823846714669942996654358527	NL
42540619363823846714669942996654358528	42540619363826264566309172255003770879	BE
42540619363826264566309172255003770880	42540619363827473492128786884178477055	LV
42540619363827473492128786884178477056	42540619363828682417948401513353183231	FR
42540619363828682417948401513353183232	42540619363829891343768016142527889407	AT
42540619363829891343768016142527889408	42540619363831100269587630771702595583	DE
42540619363831100269587630771702595584	42540619363834727047046474659226714111	CZ
42540619363834727047046474659226714112	42540619363835935972866089288401420287	IT
42540619363835935972866089288401420288	42540619363843189527783777063449657343	RU
42540619363843189527783777063449657344	42540619363844398453603391692624363519	LT
42540619363844398453603391692624363520	42540619363845607379423006321799069695	DK
42540619363845607379423006321799069696	42540619363846816305242620950973775871	LU
42540619363846816305242620950973775872	42540619363848025231062235580148482047	AT
42540619363851652008521079467672600576	42540619363852860934340694096847306751	AT
42540619363856487711799537984371425280	42540619363857696637619152613546131455	AT
42540619363861323415077996501070249984	42540619363862532340897611130244956159	SM
42540619363866159118356455017769074688	42540619363867368044176069646943780863	NL
42540619363870994821634913534467899392	42540619363872203747454528163642605567	NL
42540619363875830524913372051166724096	42540619363877039450732986680341430271	NL
42540619363880666228191830567865548800	42540619363881875154011445197040254975	NL
42540619363885501931470289084564373504	42540619363886710857289903713739079679	BG
42540619363890337634748747601263198208	42540619363891546560568362230437904383	ES
42540619363895173338027206117962022912	42540619363896382263846820747136729087	ES
42540619363900009041305664634660847616	42540619363901217967125279263835553791	ES
42540619363904844744584123151359672320	42540619363906053670403737780534378495	FR
42540619363909680447862581668058497024	42540619363910889373682196297233203199	EU
42540619363914516151141040184757321728	42540619363915725076960654813932027903	EU
42540619363919351854419498701456146432	42540619363920560780239113330630852607	EU
42540619363924187557697957218154971136	42540619363925396483517571847329677311	EU
42540619363929023260976415734853795840	42540619363930232186796030364028502015	LU
42540619363933858964254874251552620544	42540619363935067890074488880727326719	BE
42540619363938694667533332768251445248	42540619363939903593352947397426151423	BE
42540619363943530370811791284950269952	42540619363944739296631405914124976127	BE
42540619363948366074090249801649094656	42540619363949574999909864430823800831	SK
42540619363953201777368708318347919360	42540619363954410703188322947522625535	DK
42540619363958037480647166835046744064	42540619363959246406466781464221450239	DK
42540619363962873183925625351745568768	42540619363964082109745239980920274943	LV
42540619363967708887204083868444393472	42540619363968917813023698497619099647	LV
42540619363972544590482542385143218176	42540619363973753516302157014317924351	LV
